-3 3 10.1.4.2
9bbb10c6de20e7ea6324f2192b0b5a3af70a936b 0.018289 -1
7bc29f6603a74123a4020d09a2d034fffb54aea0 0.019158 -1
7aa9642555cbf45d6528f55b60fdc987dab9696b 0.021179 -1
55da0121f293c498e906638c6b3a4add5f31a7c5 0.021600 -1
39c25a55216c24358533eeee95b4479aa01bb69d 0.024060 -1
b6222f6150c6874790eea80069abb8cf22c6c666 0.024205 -1
31950da3f5c254089656d012452770aa30fdef0a 0.024340 -1
6b79da2c4c2aee5f29e0b19bb403f3b8cd73aa77 0.024623 -1
b3e7067d8ad9fd30ed7f6f4722f65d96d8d3fe8b 0.027399 -1
3b45be1ed1d04e96bbaba0ec39afc506f847d8a6 0.031194 -1
c116539eeeecc189dcb11f2395e10668885d9f36 0.031738 -1
7ad73596bb46a5e3aa61e3e1b20644e73048cb86 0.034113 -1
94ea088f8e41b531f67e24d427ebff08a7b0ffe4 0.038718 -1
16cf53d526f40cf57b05f72216222fca2dc30283 0.041033 -1
2f1c8a1534aaceb50a450bf39fad772d98ea7ab3 0.041256 -1
b58bd98c8cba9619f2a25eb602a699da9a195160 0.041410 -1
346382b1d84805e277563e9485f4e9bd0fbed064 0.041711 -1
25a3f9db2549386882c44d1c0955f3adf3df95f0 0.045217 -1
1a28e25d0eb330329c4ff6b4d9e623381bc30c4e 0.045772 -1
5d700596db78c8557872fc0691d20a2a58521f5d 0.047854 -1
1ad2f566a64fd01572a056951da193d8a083497d 0.048016 -1
5ffc89395dfbe2bb51f7383b6ffe88055b17e4b6 0.048230 -1
1baf118071e97c06de05fc9aa586a0d408e55a0a 0.050931 -1
3d69dc666b1aa28bac254254cafab934fc65db3e 0.053445 -1
9bd7de9d5848148eed37266424221f79e784281f 0.053719 -1
173d5ff06005a5c308c384e11a3fce39ccd132fd 0.057045 -1
cefd728d8ca58481c42c6bf12788e24a00cef828 0.057842 -1
74641a4353471e539f1edd275e98f95626badd47 0.057993 -1
8861762f2ab3f15957ae6447dfe0c3a005f3ea70 0.058109 -1
75a6b0fae8f2a13c7ea734258d70dfefb24fd34a 0.058228 -1
db7a752d6a4ab92c28957d8fa16299ec6ff2eb95 0.060415 -1
e95f046535a8e4a79ef654e0aed232676230ed17 0.060615 -1
c66938cb9327b82ea02f4312975e0f0bd754a023 0.060893 -1
dfae6998feb4919d59659d811b44b608454e3dba 0.064708 -1
49c5722e76073d36ebf40cd5b70540897c592e68 0.065477 -1
7d0f4147c1ae0c40edd3e12c5c5dbab1eb28c5d5 0.067353 -1
cf363bfe046b7d3d5dcf54171b0259e830915e5b 0.069884 -1
86782235f36b4a3cd58fa9fa0fc3d3118d9241ac 0.070021 -1
728b1231ce31cd65836958c72cf6ff366d7fe680 0.070349 -1
9952a642e46a2d17ca36d376efd62b00cf3d2286 0.072924 -1
e6114953f43028c246a1052e6efbf52aba062add 0.073118 -1
a7e011420e2c13ca0e56e443dd088ce95031ea4a 0.073217 -1
3a6b412e4da712dea873c48190a3f46806bd976f 0.076425 -1
b1345099d1732bb3efbe3222c93d8291aafc376e 0.076947 -1
36e9e8fe1d7977a45c71646ed67526959b6b7f84 0.079004 -1
419799045966cb118ebb857b42a65d3a4bdc1897 0.079193 -1
22f3500484fd70aaeef8f553890c05ce521214f1 0.079541 -1
0aea2d2253dd819a8bb40a796e57ee492316e513 0.083300 -1
abbcf3da6a1ae8ff2e54ca14e0bce7b51cc2cf27 0.083573 -1
d1347e5c94956039f73b9062d01693105df245ea 0.084081 -1
27ae358bc954ae351ef7864635c463ad597eee1d 0.086624 -1
4656b8be9b9d547eab4919e332e7974ba41c7b64 0.086771 -1
590fcf92fcbfa4c3c73b13098542504062c415cb 0.090534 -1
1c623be8eb857ba6fb78149e3533265dabe2b613 0.092850 -1
3bd96bcfd585552dcdae228bf91027ea3eb858c3 0.096631 -1
66ac1c6bb48d0bc525e209e2d260b1039a1d2fed 0.097215 -1
2da27990bbbe48c28f61363ef26d5be832c147a3 0.099403 -1
b579164976a71d289cd716e5cbb0233c914528ac 0.099554 -1
5c3a8547811b371ae6b35a24f3620c88ba76b4f3 0.099723 -1
50f9dcd188e6fede830a7975842e8b5b42ab6081 0.103811 -1
12cdbd25a9edbbc1d3b1abcc0a8c8a3a3eb908fd 0.106545 -1
ef0f666d6696c352b84b4e522e00dde0ad489db9 0.106732 -1
5d95a6f5f50d0601b8b1d25aa704fde3c3c7f06e 0.106906 -1
8ee99e5e22be746695c022d4f2735ea16206378f 0.107082 -1
4734181b65dbd97e624d9a8002cc2fa9b76363d9 0.110060 -1
c43edf82d9b4bb46570bb80d736498eb0da98b37 0.110581 -1
0453748841f51ef8a29c1b7c49ee44dafd76b8c0 0.110967 -1
88860dee88e86fce55e66d0b34f8f862f597fc4d 0.113483 -1
17d4ac4c89f9767d1526d59af2ac3c9d7d50086b 0.117719 -1
d096da5034464442bd4bc0abf5c188308b13e298 0.120196 -1
3945f1e20e706943b422c6c98d4b429aa861ba0a 0.120437 -1
916d419bcd2da8478ad4f1a514e94a2fad7f7fc7 0.120577 -1
f74de78f880a9769698f10fd255938ac0e8c00db 0.122907 -1
3e6acfe45fcd93454ca1bcb5d402a9eace1a8c2a 0.123183 -1
a3d1b8df0d7df2b9f5d2c582a94d2855bda16aea 0.126979 -1
55bd2082cf95afce5a90de917019d79f8565fb21 0.129663 -1
244f65e3ac833f6e38761a6e98391e01b0465e02 0.130082 -1
d5f85e84c94a1d3f564d44a69d500baade3659ee 0.134775 -1
d54f7e425292bae75b4ca4ac0a2ff28ba4b4af2e 0.135430 -1
a1ac3b82a87430ca08154b07cb001e30c7ce479e 0.135644 -1
5fb708a63e0c499ccd1dddcbefcde6568196a886 0.135814 -1
d813a35132255fcff6f36ffc0630e799d74b305e 0.137891 -1
0003eea4fa2fe5f4167d7f86714a847cecd5769a 0.138183 -1
94c7d24a22a5d337e7cb70e110706989a0b428c2 0.141379 -1
45a7e98d85f9963ed1a771b4aee5f51a90add41f 0.141642 -1
7d9d2e5a98fb80b03a5e284d4c5680c6ff0b0e58 0.143783 -1
f199b63dd864f927f9955629bec2ed52f0bcd3a5 0.144040 -1
3d8dff957b071b61bdd7899942a5d02b8e2b8311 0.144335 -1
d18dc23b3ffba5ace12457511d5b848ae1e624e0 0.147702 -1
1cab447ea9df3d81446a0d55717a9930e5c825a9 0.148350 -1
e08c2a5647540b9415d172b7b50c70d5d752f53b 0.150852 -1
35c60a13b29fa24989098083b037366a52f9f8ba 0.154610 -1
8787f8b135fbae5e99dfbaa6ea0a9a881f35256e 0.155328 -1
84447f8412c50bfd19ee804dd88b29a8217f15bb 0.157526 -1
f9608460ceabec7976d048bc7ce8e9d0f59a496d 0.157730 -1
e39bc0a01e435427bc98e804897b8a84fd2a4225 0.157986 -1
972617efc4cfaf9406b75a815404a16abb29c417 0.158162 -1
51fe63114ff9f9ee1e37511a47223c2de2b94c9f 0.160830 -1
01afc664536d7414977c39f018159420ebf63678 0.161039 -1
4644592b61535aa66236633385179466ac7b7f41 0.163389 -1
